time,gps_speed(m/s),mm_lon,mm_lat
1675110263452,10.34,-81.830307,28.834039
1675110263518,10.38,-81.830307,28.83403
1675110263585,10.42,-81.830307,28.834021
1675110263652,10.46,-81.830306,28.834012
1675110263718,10.5,-81.830306,28.834003
1675110263785,10.54,-81.830306,28.833994
1675110263852,10.58,-81.830306,28.833985
1675110263918,10.62,-81.830306,28.833976
1675110263985,10.66,-81.830306,28.833968
1675110264052,10.69,-81.830305,28.833961
1675110264118,10.73,-81.830305,28.833954
1675110264185,10.76,-81.830305,28.833947
1675110264252,10.79,-81.830305,28.83394
1675110264318,10.82,-81.830305,28.833933
1675110264385,10.85,-81.830305,28.833925
1675110264452,10.87,-81.830305,28.833918
1675110264518,10.9,-81.830305,28.833911
1675110264585,10.92,-81.830304,28.833904
1675110264652,10.94,-81.830304,28.833897
1675110264718,10.96,-81.830304,28.83389
1675110264785,10.98,-81.830304,28.833883
1675110264852,10.99,-81.830304,28.833876
1675110264918,11.0,-81.830304,28.833869
1675110264985,11.01,-81.830304,28.833861
1675110265052,11.02,-81.830303,28.833852
1675110265118,11.03,-81.830303,28.833844
1675110265185,11.03,-81.830303,28.833836
1675110265252,11.04,-81.830303,28.833828
1675110265318,11.04,-81.830303,28.83382
1675110265385,11.04,-81.830303,28.833812
1675110265452,11.04,-81.830303,28.833803
1675110265518,11.04,-81.830302,28.833795
1675110265585,11.04,-81.830302,28.833787
1675110265652,11.04,-81.830302,28.833779
1675110265718,11.03,-81.830302,28.833771
1675110265785,11.03,-81.830302,28.833763
1675110265852,11.03,-81.830302,28.833754
1675110265918,11.02,-81.830301,28.833746
1675110265985,11.02,-81.830301,28.833739
1675110266052,11.02,-81.830301,28.833733
1675110266118,11.01,-81.830301,28.833726
1675110266185,11.01,-81.830301,28.83372
1675110266252,11.0,-81.830301,28.833713
1675110266318,11.0,-81.830301,28.833707
1675110266385,11.0,-81.830301,28.8337
1675110266452,11.0,-81.8303,28.833694
1675110266518,10.99,-81.8303,28.833687
1675110266585,10.99,-81.8303,28.83368
1675110266652,10.99,-81.8303,28.833674
1675110266718,10.99,-81.8303,28.833667
1675110266785,10.99,-81.8303,28.833661
1675110266852,10.99,-81.8303,28.833654
1675110266918,10.99,-81.830301,28.833648
1675110266985,10.99,-81.830301,28.833641
1675110267052,10.99,-81.830301,28.833634
1675110267118,10.99,-81.830301,28.833627
1675110267185,10.99,-81.830301,28.833621
1675110267252,10.99,-81.830301,28.833614
1675110267318,10.99,-81.830302,28.833607
1675110267385,10.99,-81.830302,28.8336
1675110267452,10.99,-81.830302,28.833593
1675110267518,10.99,-81.830302,28.833587
1675110267585,11.0,-81.830302,28.83358
1675110267652,11.0,-81.830302,28.833573
1675110267718,11.0,-81.830303,28.833566
1675110267785,11.0,-81.830303,28.833559
1675110267852,11.01,-81.830303,28.833553
1675110267918,11.01,-81.830303,28.833546
1675110267985,11.01,-81.830303,28.833539
1675110268052,11.02,-81.830303,28.833533
1675110268118,11.02,-81.830304,28.833526
1675110268185,11.02,-81.830304,28.833519
1675110268252,11.03,-81.830304,28.833513
1675110268318,11.03,-81.830304,28.833506
1675110268385,11.03,-81.830304,28.833499
1675110268452,11.03,-81.830304,28.833493
1675110268518,11.04,-81.830305,28.833486
1675110268585,11.04,-81.830305,28.833479
1675110268652,11.04,-81.830305,28.833473
1675110268718,11.05,-81.830305,28.833466
1675110268785,11.05,-81.830305,28.83346
1675110268852,11.05,-81.830305,28.833453
1675110268918,11.05,-81.830306,28.833446
1675110268985,11.05,-81.830306,28.83344
1675110269052,11.05,-81.830306,28.833433
1675110269118,11.06,-81.830306,28.833427
1675110269185,11.06,-81.830306,28.83342
1675110269252,11.06,-81.830306,28.833414
1675110269318,11.06,-81.830307,28.833407
1675110269385,11.06,-81.830307,28.833401
1675110269452,11.06,-81.830307,28.833394
1675110269518,11.06,-81.830307,28.833387
1675110269585,11.05,-81.830307,28.833381
1675110269652,11.05,-81.830307,28.833374
1675110269718,11.05,-81.830308,28.833368
1675110269785,11.05,-81.830308,28.833361
1675110269852,11.05,-81.830308,28.833355
1675110269918,11.05,-81.830308,28.833348
1675110269985,11.05,-81.830308,28.833342
1675110270052,11.04,-81.830308,28.833335
1675110270118,11.04,-81.830309,28.833329
1675110270185,11.04,-81.830309,28.833323
1675110270252,11.04,-81.830309,28.833316
1675110270318,11.04,-81.830309,28.83331
1675110270385,11.03,-81.830309,28.833304
1675110270452,11.03,-81.830309,28.833297
1675110270518,11.03,-81.830309,28.833291
1675110270585,11.03,-81.83031,28.833285
1675110270652,11.03,-81.83031,28.833278
1675110270718,11.02,-81.83031,28.833272
1675110270785,11.02,-81.83031,28.833266
1675110270852,11.02,-81.83031,28.833259
1675110270918,11.02,-81.83031,28.833253
1675110270985,11.01,-81.830311,28.833248
1675110271052,11.01,-81.830311,28.833243
1675110271118,11.01,-81.830311,28.833239
1675110271185,11.01,-81.830311,28.833234
1675110271252,11.0,-81.830311,28.833229
1675110271318,11.0,-81.830311,28.833225
1675110271385,11.0,-81.830311,28.83322
1675110271452,11.0,-81.830311,28.833215
1675110271518,10.99,-81.830311,28.83321
1675110271585,10.99,-81.830312,28.833206
1675110271652,10.99,-81.830312,28.833201
1675110271718,10.98,-81.830312,28.833196
1675110271785,10.98,-81.830312,28.833192
1675110271852,10.98,-81.830312,28.833187
1675110271918,10.97,-81.830312,28.833182
1675110271985,10.97,-81.830312,28.833176
1675110272052,10.96,-81.830313,28.833169
1675110272118,10.96,-81.830313,28.833162
1675110272185,10.95,-81.830313,28.833155
1675110272252,10.95,-81.830313,28.833148
1675110272318,10.94,-81.830313,28.833141
1675110272385,10.94,-81.830313,28.833134
1675110272452,10.93,-81.830314,28.833127
1675110272518,10.92,-81.830314,28.83312
1675110272585,10.91,-81.830314,28.833113
1675110272652,10.91,-81.830314,28.833106
1675110272718,10.9,-81.830314,28.833099
1675110272785,10.89,-81.830314,28.833092
1675110272852,10.88,-81.830315,28.833085
1675110272918,10.86,-81.830315,28.833078
1675110272985,10.85,-81.830315,28.833072
1675110273052,10.84,-81.830315,28.833066
1675110273118,10.83,-81.830315,28.83306
1675110273185,10.81,-81.830315,28.833054
1675110273252,10.8,-81.830316,28.833048
1675110273318,10.78,-81.830316,28.833043
1675110273385,10.77,-81.830316,28.833037
1675110273452,10.75,-81.830316,28.833031
1675110273518,10.74,-81.830316,28.833025
1675110273585,10.72,-81.830316,28.83302
1675110273652,10.7,-81.830316,28.833014
1675110273718,10.69,-81.830317,28.833008
1675110273785,10.67,-81.830317,28.833002
1675110273852,10.65,-81.830317,28.832996
1675110273918,10.63,-81.830317,28.832991
1675110273985,10.61,-81.830317,28.832984
1675110274052,10.59,-81.830317,28.832978
1675110274118,10.57,-81.830317,28.832972
1675110274185,10.56,-81.830318,28.832966
1675110274252,10.54,-81.830318,28.83296
1675110274318,10.52,-81.830318,28.832953
1675110274385,10.5,-81.830318,28.832947
1675110274452,10.48,-81.830318,28.832941
1675110274518,10.46,-81.830318,28.832935
1675110274585,10.44,-81.830319,28.832929
1675110274652,10.43,-81.830319,28.832922
1675110274718,10.41,-81.830319,28.832916
1675110274785,10.39,-81.830319,28.83291
1675110274852,10.37,-81.830319,28.832904
1675110274918,10.36,-81.830319,28.832898
1675110274985,10.34,-81.830319,28.832892
1675110275052,10.33,-81.83032,28.832886
1675110275118,10.31,-81.83032,28.83288
1675110275185,10.3,-81.83032,28.832874
1675110275252,10.28,-81.83032,28.832869
1675110275318,10.27,-81.83032,28.832863
1675110275385,10.26,-81.830319,28.832857
1675110275452,10.24,-81.830319,28.832851
1675110275518,10.23,-81.830319,28.832846
1675110275585,10.21,-81.830318,28.83284
1675110275652,10.2,-81.830318,28.832834
1675110275718,10.19,-81.830318,28.832828
1675110275785,10.17,-81.830317,28.832822
1675110275852,10.16,-81.830317,28.832817
1675110275918,10.14,-81.830317,28.832811
1675110275985,10.13,-81.830316,28.832805
1675110276052,10.11,-81.830316,28.832799
1675110276118,10.09,-81.830316,28.832793
1675110276185,10.07,-81.830315,28.832786
1675110276252,10.05,-81.830315,28.83278
1675110276318,10.03,-81.830315,28.832774
1675110276385,10.01,-81.830314,28.832768
1675110276452,9.98,-81.830314,28.832762
1675110276518,9.96,-81.830314,28.832756
1675110276585,9.93,-81.830313,28.83275
1675110276652,9.9,-81.830313,28.832743
1675110276718,9.87,-81.830313,28.832737
1675110276785,9.83,-81.830312,28.832731
1675110276852,9.8,-81.830312,28.832725
1675110276918,9.76,-81.830312,28.832719
1675110276985,9.71,-81.830311,28.832714
1675110277052,9.67,-81.830311,28.83271
1675110277118,9.62,-81.830311,28.832706
1675110277185,9.57,-81.830311,28.832702
1675110277252,9.52,-81.83031,28.832698
1675110277318,9.46,-81.83031,28.832694
1675110277385,9.4,-81.83031,28.83269
1675110277452,9.34,-81.830309,28.832685
1675110277518,9.27,-81.830308,28.832681
1675110277585,9.2,-81.830307,28.832677
1675110277652,9.13,-81.830306,28.832673
1675110277718,9.06,-81.830305,28.832669
1675110277785,8.98,-81.830304,28.832665
1675110277852,8.9,-81.830304,28.832661
1675110277918,8.81,-81.830303,28.832657
1675110277985,8.72,-81.830302,28.832656
1675110278052,8.63,-81.830302,28.832656
1675110278118,8.54,-81.830302,28.832656
1675110278185,8.44,-81.830302,28.832656
1675110278252,8.34,-81.830302,28.832656
1675110278318,8.24,-81.830302,28.832656
1675110278385,8.14,-81.830302,28.832656
1675110278452,8.03,-81.830302,28.832656
1675110278518,7.92,-81.830302,28.832656
1675110278585,7.81,-81.830302,28.832656
1675110278652,7.69,-81.830302,28.832656
1675110278718,7.58,-81.830302,28.832656
1675110278785,7.46,-81.830302,28.832656
1675110278852,7.34,-81.830302,28.832656
1675110278918,7.22,-81.830302,28.832656
1675110278985,7.1,-81.830302,28.832656
1675110279052,6.98,-81.830302,28.832656
1675110279118,6.85,-81.830302,28.832656
1675110279185,6.73,-81.830302,28.832656
1675110279252,6.61,-81.830302,28.832656
1675110279318,6.48,-81.830302,28.832656
1675110279385,6.36,-81.830302,28.832656
1675110279452,6.23,-81.830302,28.832655
1675110279518,6.11,-81.830302,28.832655
1675110279585,5.99,-81.830302,28.832655
1675110279652,5.87,-81.830302,28.832655
1675110279718,5.75,-81.830302,28.832655
1675110279785,5.63,-81.830302,28.832655
1675110279852,5.52,-81.830302,28.832655
1675110279918,5.41,-81.830302,28.832655
1675110279985,5.3,-81.830302,28.832655
1675110280052,5.19,-81.830302,28.832655
1675110280118,5.08,-81.830302,28.832655
1675110280185,4.98,-81.830302,28.832655
1675110280252,4.88,-81.830302,28.832655
1675110280318,4.79,-81.830302,28.832655
1675110280385,4.7,-81.830302,28.832655
1675110280452,4.61,-81.830302,28.832655
1675110280518,4.52,-81.830302,28.832655
1675110280585,4.44,-81.830302,28.832655
1675110280652,4.37,-81.830302,28.832655
1675110280718,4.3,-81.830302,28.832655
1675110280785,4.23,-81.830302,28.832655
1675110280852,4.17,-81.830302,28.832655
1675110280918,4.11,-81.830302,28.832655
1675110280985,4.06,-81.830302,28.832653
1675110281052,4.01,-81.830301,28.832651
1675110281118,3.97,-81.830301,28.83265
